1-7RQO83X|Pfizer Smart Messaging 65000B 115000SMS 0.60B 24Months
D4E3370639BDE04E04400B5DE06DF2|QR TechnologyY2013 Smart Messaging MMS 120000B 30000MMS
D4E337290526E1EE04400B5DE06DF2|QR TechnologyY2013 Smart Messaging MMS 190000B 50000MMS
D4E336E562BFDE6E04400B5DE06DF2|QR TechnologyY2013 Smart Messaging MMS 40000B 10000MMS
E862C1D400DD52E7E04400B5DE06DF2|SCBY2013 Smart Messaging Special 0.25B For 24Months
05DDB50406E94C4BAB51A06B68EC3EC6|SCCC Smart Messaging SMS 0.50B Pay5000BCorp
07DC4DE599A14CFF88ECF5FA4C9B2D07|AWN Smart Messaging pay 45000B 24Mth Corp
1-7AO3THL|Nu Skin Smart Messaging 35000B 50000SMS Marginal Step
3CBB4F03C88B4E0E89A6DCCFDC45CD8D|Nu Skin Smart Messaging SMS Pay 12500BCorp
BF1165CC4B664B46BF483C9903A20784|Unilever Thai Smart MessagingSMS PayPerUse 0.38BCorp
1-7KPB6SL|Unilever Thai Trading Smart Messaging 9600B 12000SMS Marginal Step
1-7CK5JB5|SMEs Tam Sung Smart Messaging For SMEs 100SMS
C7C517BE67C61100E04400B5DE06DF2|SMEs Wow Smart Messaging 200
C7C517D800FC118CE04400B5DE06DF2|SMEs Wow Smart Messaging 800
00FB3B48917904FBE0540010E05D2C7C|SMEsY2015 Smart Messaging 200B 250SMS 0.90B Corp
00FB3B6238B80538E0540010E05D2C7C|SMEsY2015 Smart Messaging 400B 500SMS 0.80B Corp
18146DB78FEA52C5E0540010E05D2C7C|SMEs_SCB Smart Messaging Pay 200B 250SMS Corp
18146DD295375399E0540010E05D2C7C|SMEs_SCB Smart Messaging Pay 400B 571SMS Corp
18146DEECF035442E0540010E05D2C7C|SMEs_SCB Smart Messaging Pay 800B 1142SMS Corp
C7002CB4D5403075E04400B5DE06DF2|Sachi Smart Messaging 750B 1000SMS 0.75B 24Months
A47C734F504C4E09E04400B5DE06DF2|School SIM Smart Messaging On Net-Off Net Pack 3
4C413878FD6D6C91E05400144FFBC104|Siamkubota Smart Messaging Pay 26000BCorp
8a8d2dc72e96ce72012e99dddaed381f|Smart Messaging 100 SMS For AIS Family SIM 2
1-7E1EA1Z|Smart Messaging 24000B 40000SMS 0.60B
8a8d2daf34154eed01345a54d7883816|Smart Messaging 300SMS for EBPP
